Season,Episode,Title,Release_date,Rating,Votes,Summary,Writer_1,Writer_2,Star_1,Star_2,Star_3,Users_reviews,Critics_reviews,US_Viewers,Duration,Director,Budget_estimate
1,1,Winter Is Coming,17-Apr-11,9.1,38639,Eddard Stark is torn between his family and an old friend when asked to serve at the side of King Robert Baratheon; Viserys plans to wed his sister to a nomadic warlord in exchange for an army.,David Benioff,D.B. Weiss,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,61,30,2.22,62,Timothy Van Patten,0
1,2,The Kingsroad,24-Apr-11,8.8,29285,"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them.",David Benioff,D.B. Weiss,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,27,28,2.2,56,Timothy Van Patten,0
1,3,Lord Snow,1-May-11,8.7,27694,Jon begins his training with the Night's Watch; Ned confronts his past and future at King's Landing; Daenerys finds herself at odds with Viserys.,David Benioff,D.B. Weiss,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,21,29,2.44,58,Brian Kirk,0
1,4,"Cripples, Bastards, and Broken Things",8-May-11,8.8,26284,"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.",David Benioff,D.B. Weiss,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,22,26,2.45,56,Brian Kirk,0
1,5,The Wolf and the Lion,15-May-11,9.1,27349,"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.",David Benioff,D.B. Weiss,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,24,26,2.58,55,Brian Kirk,0
1,6,A Golden Crown,22-May-11,9.2,27079,"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.",David Benioff,D.B. Weiss,Sean Bean,Mark Addy,Michelle Fairley,23,26,2.44,53,Daniel Minahan,0
1,7,You Win or You Die,29-May-11,9.2,27556,"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.",David Benioff,D.B. Weiss,Sean Bean,Mark Addy,Nikolaj Coster-Waldau,21,27,2.4,58,Daniel Minahan,0
1,8,The Pointy End,5-Jun-11,9,25645,The Lannisters press their advantage over the Starks; Robb rallies his father's northern allies and heads south to war; The White Walkers attack the Wall; Tyrion returns to his father with some new friends.,David Benioff,D.B. Weiss,Sean Bean,Michelle Fairley,Lena Headey,20,26,2.72,59,Daniel Minahan,0
1,9,Baelor,12-Jun-11,9.6,36217,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,David Benioff,D.B. Weiss,Sean Bean,Michelle Fairley,Nikolaj Coster-Waldau,30,29,2.66,57,Alan Taylor,0
1,10,Fire and Blood,19-Jun-11,9.5,31789,Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.,David Benioff,D.B. Weiss,Sean Bean,Michelle Fairley,Nikolaj Coster-Waldau,34,29,3.04,53,Alan Taylor,0
