,characterName,characterLink,actorName,actorLink,houseName,royal,parents,siblings,killedBy,characterImageThumb,characterImageFull,nickname,killed,servedBy,parentOf,marriedEngaged,serves,kingsguard,guardedBy,actors,guardianOf,allies,abductedBy,abducted,sibling
0,Addam Marbrand,/character/ch0305333/,B.J. Hogg,/name/nm0389698/,,,,,,,,,,,,,,,,,,,,,
1,Aegon Targaryen,,,,Targaryen,True,"['Elia Martell', 'Rhaegar Targaryen']","['Rhaenys Targaryen', 'Jon Snow']",['Gregor Clegane'],,,,,,,,,,,,,,,,
2,Aeron Greyjoy,/character/ch0540081/,Michael Feast,/name/nm0269923/,Greyjoy,,,"['Balon Greyjoy', 'Euron Greyjoy']",,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1_.jpg,Damphair,,,,,,,,,,,,,
3,Aerys II Targaryen,/character/ch0541362/,David Rintoul,/name/nm0727778/,Targaryen,True,,['Rhaella Targaryen'],['Jaime Lannister'],https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,The Mad King,"['Brandon Stark', 'Rickard Stark']","['Arthur Dayne', 'Jaime Lannister']","['Daenerys Targaryen', 'Rhaegar Targaryen', 'Viserys Targaryen']",['Rhaella Targaryen'],,,,,,,,,
4,Akho,/character/ch0544520/,Chuku Modu,/name/nm6729880/,,,,,['Daario Naharis'],https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
5,Alliser Thorne,/character/ch0246938/,Owen Teale,/name/nm0853583/,,,,,['Jon Snow'],https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1_SY1000_CR0,0,666,1000_AL_.jpg",,['Jon Snow'],,,,,,,,,,,,
6,Alton Lannister,/character/ch0305012/,Karl Davies,/name/nm0203801/,Lannister,,,,['Jaime Lannister'],https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1_.jpg,,,,,,,,,,,,,,
7,Alys Karstark,/character/ch0576836/,Megan Parkinson,/name/nm8257864/,,,['Harald Karstark'],,,,,,,,,,,,,,,,,,
8,Amory Lorch,/character/ch0305002/,Fintan McKeown,/name/nm0571654/,,,,,"[""Jaqen H'ghar""]",https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_.jpg,,['Yoren'],,,,,,,,,,,,
9,Anguy,/character/ch0316930/,Philip McGinley,/name/nm1528121/,,,,,,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRhY2M4YmItNjc2Yi00ZDc0LWE5NmUtNGE5OWE0YTQ2YjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRhY2M4YmItNjc2Yi00ZDc0LWE5NmUtNGE5OWE0YTQ2YjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,,,,,,,,,,,,,,
