"characters/characterName","characters/characterLink","characters/actorName","characters/actorLink","characters/houseName/0","characters/royal","characters/parents/0","characters/parents/1","characters/siblings/0","characters/siblings/1","characters/killedBy/0","characters/characterImageThumb","characters/characterImageFull","characters/nickname","characters/killed/0","characters/killed/1","characters/servedBy/0","characters/servedBy/1","characters/parentOf/0","characters/parentOf/1","characters/parentOf/2","characters/marriedEngaged/0","characters/serves/0","characters/kingsguard","characters/killedBy/1","characters/siblings/2","characters/siblings/3","characters/killed/2","characters/killed/3","characters/killed/4","characters/killed/5","characters/killed/6","characters/killed/7","characters/killed/8","characters/killed/9","characters/killed/10","characters/killed/11","characters/killed/12","characters/killed/13","characters/guardedBy/0","characters/actors/0/actorName","characters/actors/0/actorLink","characters/actors/0/seasonsActive/0","characters/actors/1/actorName","characters/actors/1/actorLink","characters/actors/1/seasonsActive/0","characters/actors/0/seasonsActive/1","characters/actors/0/seasonsActive/2","characters/actors/0/seasonsActive/3","characters/serves/1","characters/serves/2","characters/serves/3","characters/houseName/1","characters/parentOf/3","characters/parentOf/4","characters/marriedEngaged/1","characters/actors/1/seasonsActive/1","characters/actors/1/seasonsActive/2","characters/killed/14","characters/killed/15","characters/servedBy/2","characters/servedBy/3","characters/servedBy/4","characters/servedBy/5","characters/guardedBy/1","characters/guardedBy/2","characters/guardianOf/0","characters/allies/0","characters/allies/1","characters/siblings/4","characters/killedBy/2","characters/actors/2/actorName","characters/actors/2/actorLink","characters/actors/2/seasonsActive/0","characters/actors/2/seasonsActive/1","characters/actors/2/seasonsActive/2","characters/actors/2/seasonsActive/3","characters/actors/2/seasonsActive/4","characters/guardianOf/1","characters/guardianOf/2","characters/parents/2","characters/killedBy/3","characters/abductedBy/0","characters/marriedEngaged/2","characters/abducted/0","characters/sibling/0","characters/sibling/1","characters/allies/2"
Addam Marbrand,/character/ch0305333/,B.J. Hogg,/name/nm0389698/,"",false,"","","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Aegon Targaryen,"","","",Targaryen,true,Elia Martell,Rhaegar Targaryen,Rhaenys Targaryen,Jon Snow,Gregor Clegane,"","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Aeron Greyjoy,/character/ch0540081/,Michael Feast,/name/nm0269923/,Greyjoy,false,"","",Balon Greyjoy,Euron Greyjoy,"",https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNzI5MDg0ZDAtN2Y2ZC00MzU1LTgyYjQtNTBjYjEzODczZDVhXkEyXkFqcGdeQXVyNTg0Nzg4NTE@._V1_.jpg,Damphair,"","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Aerys II Targaryen,/character/ch0541362/,David Rintoul,/name/nm0727778/,Targaryen,true,"","",Rhaella Targaryen,"",Jaime Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMWQzOWViN2ItNDZhOS00MmZlLTkxZTYtZDg5NGUwMGRmYWZjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,The Mad King,Brandon Stark,Rickard Stark,Arthur Dayne,Jaime Lannister,Daenerys Targaryen,Rhaegar Targaryen,Viserys Targaryen,Rhaella Targaryen,"",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Akho,/character/ch0544520/,Chuku Modu,/name/nm6729880/,"",false,"","","","",Daario Naharis,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOGE4ZDZmOGUtNGE4Ny00Y2VmLThiOGItMjk3Y2U0ZDY3OWQxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Alliser Thorne,/character/ch0246938/,Owen Teale,/name/nm0853583/,"",false,"","","","",Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1._SX100_SY140_.jpg,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjExMjA3M15BMl5BanBnXkFtZTcwMjI1ODg5NA@@._V1_SY1000_CR0,0,666,1000_AL_.jpg","",Jon Snow,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Alton Lannister,/character/ch0305012/,Karl Davies,/name/nm0203801/,Lannister,false,"","","","",Jaime Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTU1NTAzOF5BMl5BanBnXkFtZTcwNzA2NDk4OA@@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Alys Karstark,/character/ch0576836/,Megan Parkinson,/name/nm8257864/,"",false,Harald Karstark,"","","","","","","","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Amory Lorch,/character/ch0305002/,Fintan McKeown,/name/nm0571654/,"",false,"","","","",Jaqen H'ghar,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVmY2M2YmUtY2JkYS00NjIyLWFhYTAtNTNlZmI4ODdiNmE5XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1_.jpg,"",Yoren,"","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
Anguy,/character/ch0316930/,Philip McGinley,/name/nm1528121/,"",false,"","","","","",https://images-na.ssl-images-amazon.com/images/M/MV5BNmRhY2M4YmItNjc2Yi00ZDc0LWE5NmUtNGE5OWE0YTQ2YjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNmRhY2M4YmItNjc2Yi00ZDc0LWE5NmUtNGE5OWE0YTQ2YjY3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1_.jpg,"","","","","","","","","","",false,"","","","","","","","","","","","","","","","","","",,"","",,,,,"","","","","","","",,,"","","","","","","","","","","","","","","",,,,,,"","","","","","","","","",""
