Character,Actor/ess,Episodes_appeared,First_appearance,Last_appearance
Tyrion Lannister,Peter Dinklage,67,2011,2019
Cersei Lannister,Lena Headey,62,2011,2019
Daenerys Targaryen,Emilia Clarke,62,2011,2019
Jon Snow,Kit Harington,62,2011,2019
Sansa Stark,Sophie Turner,59,2011,2019
Arya Stark,Maisie Williams,59,2011,2019
Jaime Lannister,Nikolaj Coster-Waldau,55,2011,2019
Jorah Mormont,Iain Glen,52,2011,2019
Samwell Tarly,John Bradley,48,2011,2019
Theon Greyjoy,Alfie Allen,47,2011,2019
Lord Varys,Conleth Hill,46,2011,2019
Davos Seaworth,Liam Cunningham,42,2012,2019
Brienne of Tarth,Gwendoline Christie,42,2012,2019
Petyr 'Littlefinger' Baelish,Aidan Gillen,41,2011,2017
Bran Stark,Isaac Hempstead Wright,40,2011,2019
Sandor 'The Hound' Clegane,Rory McCann,38,2011,2019
Missandei,Nathalie Emmanuel,38,2013,2019
Bronn,Jerome Flynn,37,2011,2019
Podrick Payne,Daniel Portman,35,2012,2019
Grey Worm,Jacob Anderson,34,2013,2019
Eddison Tollett,Ben Crompton,34,2012,2019
Tormund Giantsbane,Kristofer Hivju,33,2013,2019
Grand Maester Pycelle,Julian Glover,31,2011,2016
Melisandre,Carice van Houten,29,2012,2019
Tywin Lannister,Charles Dance,27,2011,2015
Gilly,Hannah Murray,27,2012,2019
Margaery Tyrell,Natalie Dormer,26,2012,2016
Joffrey Baratheon,Jack Gleeson,26,2011,2014
Catelyn Stark,Michelle Fairley,26,2011,2016
Barristan Selmy,Ian McElhinney,25,2011,2015
Stannis Baratheon,Stephen Dillane,24,2012,2015
Gendry,Joe Dempsie,24,2011,2019
Hodor,Kristian Nairn,23,2011,2016
Qyburn,Anton Lesser,22,2013,2019
Grenn,Mark Stanley,22,2011,2014
Robb Stark,Richard Madden,22,2011,2016
Loras Tyrell,Finn Jones,21,2011,2016
Shae,Sibel Kekilli,20,2011,2014
Ramsay Bolton,Iwan Rheon,20,2013,2016
Roose Bolton,Michael McElhatton,20,2012,2016
Alliser Thorne,Owen Teale,19,2011,2016
Daario Naharis,Michiel Huisman,18,2014,2016
Olenna Tyrell,Diana Rigg,18,2013,2017
Tommen Baratheon,Dean-Charles Chapman,18,2013,2016
Ygritte,Rose Leslie,17,2012,2014
Jaqen H'ghar,Tom Wlaschiha,17,2012,2016
Gregor 'The Mountain' Clegane,Hafþór Júlíus Björnsson,17,2014,2019
Olly,Brenock O'Connor,17,2014,2016
Meryn Trant,Ian Beattie,17,2011,2015
Osha,Natalia Tena,16,2011,2016
Yara Greyjoy,Gemma Whelan,16,2012,2019
Meera Reed,Ellie Kendrick,16,2013,2017
Wun Wun,Ian Whyte,16,2011,2019
Lancel Lannister,Eugene Simon,16,2011,2016
Janos Slynt,Dominic Carter,15,2011,2015
Maester Luwin,Donald Sumpter,14,2011,2012
Ros,Esmé Bianco,14,2011,2013
Rickon Stark,Art Parkinson,14,2011,2016
Othell Yarwyck,Brian Fortune,14,2011,2016
Ellaria Sand,Indira Varma,13,2014,2017
Rodrik Cassel,Ron Donachie,13,2011,2012
Beric Dondarrion,Richard Dormer,13,2013,2019
Mace Tyrell,Roger Ashton-Griffiths,13,2014,2016
Yohn Royce,Rupert Vansittart,13,2014,2019
Pypar,Josef Altin,13,2011,2014
Irri,Amrita Acharia,13,2011,2012
High Sparrow,Jonathan Pryce,12,2015,2016
Jeor Mormont,James Cosmo,12,2011,2013
Maester Wolkan,Richard Rycroft,12,2016,2019
Kevan Lannister,Ian Gelder,12,2011,2016
Rast,Luke Barnes,12,2011,2014
Hot Pie,Ben Hawkey,12,2011,2017
Talisa Stark,Oona Chaplin,11,2012,2013
Maester Aemon,Peter Vaughan,11,2011,2015
The Waif,Faye Marsay,11,2015,2016
Doreah,Roxanne McKee,11,2011,2012
Qhono,Staz Nair,11,2016,2019
Eddard 'Ned' Stark,Sean Bean,10,2011,2011
Thoros of Myr,Paul Kaye,10,2013,2017
Selyse Baratheon,Tara Fitzgerald,10,2013,2015
Jojen Reed,Thomas Brodie-Sangster,10,2013,2014
Shireen Baratheon,Kerry Ingram,10,2013,2015
Bowen Marsh,Michael Condron,10,2015,2016
Khal Drogo,Jason Momoa,10,2011,2012
Euron Greyjoy,Pilou Asbæk,9,2016,2019
Edmure Tully,Tobias Menzies,9,2013,2019
Tyene Sand,Rosabell Laurenti Sellers,9,2015,2017
Lyanna Mormont,Bella Ramsey,9,2016,2019
Robin Arryn,Lino Facioli,9,2011,2019
Renly Baratheon,Gethin Anthony,8,2011,2012
Locke,Noah Taylor,8,2013,2014
Obara Sand,Keisha Castle-Hughes,8,2015,2017
Hizdahr zo Loraq,Joel Fry,8,2014,2015
Nymeria Sand,Jessica Henwick,8,2015,2017
Septa Unella,Hannah Waddingham,8,2015,2016
Myranda,Charlotte Hope,8,2013,2016
Kovarro,Steven Cole,8,2012,2012
Tommen Baratheon,Callum Wharry,8,2011,2012
Myrcella Baratheon,Aimee Richardson,8,2011,2012
Marei,Josephine Gillan,8,2012,2019
Robert Baratheon,Mark Addy,7,2011,2011
Oberyn Martell,Pedro Pascal,7,2014,2014
Yoren,Francis Magee,7,2011,2012
Brynden 'Blackfish' Tully,Clive Russell,7,2013,2016
Olyvar,Will Tudor,7,2013,2015
Rakharo,Elyes Gabel,7,2011,2012
Bernadette,Sara Dylan,7,2012,2017
Walder Frey,David Bradley,6,2011,2017
Benjen Stark,Joseph Mawle,6,2011,2017
Orell,Mackenzie Crook,6,2013,2013
Areo Hotah,Deobia Oparei,6,2015,2016
Septa Mordane,Susan Brown,6,2011,2011
Black Walder Rivers,Tim Plester,6,2013,2016
Qotho,Dar Salim,6,2011,2011
Dontos Hollard,Tony Way,6,2012,2014
Myrcella Baratheon,Nell Tiger Free,6,2015,2016
Anguy,Philip McGinley,6,2013,2013
High Septon,Paul Bentley,6,2013,2015
Alys Karstark,Megan Parkinson,6,2016,2019
Night's Watch Officer,Dennis McKeever,6,2011,2013
Viserys Targaryen,Harry Lloyd,5,2011,2011
Jory Cassel,Jamie Sives,5,2011,2011
Lysa Arryn,Kate Dickie,5,2011,2014
Mance Rayder,Ciarán Hinds,5,2013,2015
Craster,Robert Pugh,5,2012,2013
Doran Martell,Alexander Siddig,5,2015,2016
Xaro Xhoan Daxos,Nonso Anozie,5,2012,2012
Randyll Tarly,James Faulkner,5,2016,2017
Robett Glover,Tim McInnerny,5,2016,2017
Rickard Karstark,John Stahl,5,2012,2013
Dagmer Cleftjaw,Ralph Ineson,5,2012,2012
Walda Bolton,Elizabeth Webster,5,2014,2016
Trystane Martell,Toby Sebastian,5,2015,2016
The Night King,Vladimir 'Furdo' Furdik,5,2016,2019
Archmaester Ebrose,Jim Broadbent,4,2017,2017
Tycho Nestoris,Mark Gatiss,4,2014,2017
Balon Greyjoy,Patrick Malahide,4,2012,2016
Pyat Pree,Ian Hanmore,4,2012,2012
Styr,Yuri Kolokolnikov,4,2014,2014
