Season,Episode Number,Number in Season,Episode Name,Director,Writer,Original Air Date,US viewers (million),Runtime (mins),IMDB Description,IMDB votes,Imdb Rating,Notable Death Count
1,1,1,Winter Is Coming,Tim Van Patten,David Benioff & D. B. Weiss,"April 17, 2011",2.22,62,"Jon Arryn, the Hand of the King, is dead. King Robert Baratheon plans to ask his oldest friend, Eddard Stark, to take Jon's place. Across the sea, Viserys Targaryen plans to wed his sister to a nomadic warlord in exchange for an army.",27685,9,4
1,2,2,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss,"April 24, 2011",2.2,56,"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them.",21256,8.8,3
1,3,3,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss,"May 1, 2011",2.44,58,Lord Stark and his daughters arrive at King's Landing to discover the intrigues of the king's realm.,20090,8.7,0
1,4,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,"May 8, 2011",2.45,56,"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.",19123,8.8,1
1,5,5,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss,"May 15, 2011",2.58,55,"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.",20062,9.1,5
1,6,6,A Golden Crown,Daniel Minahan,Story by : Jane Espenson and David Benioff & D. B. Weiss ,"May 22, 2011",2.44,53,"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.",19908,9.2,4
1,7,7,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss,"May 29, 2011",2.4,58,"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.",20405,9.3,2
1,8,8,The Pointy End,Daniel Minahan,George R. R. Martin,"June 5, 2011",2.72,59,"Eddard and his men are betrayed and captured by the Lannisters. When word reaches Robb, he plans to go to war to rescue them. The White Walkers attack the Wall. Tyrion returns to his father with some new friends.",18688,9.1,7
1,9,9,Baelor,Alan Taylor,David Benioff & D. B. Weiss,"June 12, 2011",2.66,57,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,26364,9.6,2
1,10,10,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss,"June 19, 2011",3.04,53,"With Ned dead, Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.",23354,9.5,3
2,11,1,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,"April 1, 2012",3.86,53,Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.,18688,8.9,2
2,12,2,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,"April 8, 2012",3.76,54,"Arya makes friends with Gendry. Tyrion tries to take control of the Small Council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret.",17545,8.6,1
2,13,3,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,"April 15, 2012",3.77,53,Tyrion tries to see who he can trust in the Small Council. Catelyn visits Renly to try and persuade him to join Robb in the war. Theon must decide if his loyalties lie with his own family or with Robb.,17365,8.9,2
2,14,4,Garden of Bones,David Petrarca,Vanessa Taylor,"April 22, 2012",3.65,51,"Lord Baelish arrives at Renly's camp just before he faces off against Stannis. Daenerys and her company are welcomed into the city of Qarth. Arya, Gendry, and Hot Pie find themselves imprisoned at Harrenhal.",16706,8.9,4
2,15,5,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,"April 29, 2012",3.9,55,"Tyrion investigates a secret weapon that King Joffrey plans to use against Stannis. Meanwhile, as a token for saving his life, Jaqen H'ghar offers to kill three people that Arya chooses.",16846,8.9,4
2,16,6,The Old Gods and the New,David Nutter,Vanessa Taylor,"May 6, 2012",3.88,54,"Theon seizes control of Winterfell. Jon captures a wildling, named Ygritte. The people of King's Landing begin to turn against King Joffrey. Daenerys looks to buy ships to sail for the Seven Kingdoms.",17799,9.1,5
2,17,7,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,"May 13, 2012",3.69,56,Bran and Rickon have escaped Winterfell. Theon tries to hunt them down. Daenerys' dragons have been stolen. Jon travels through the wilderness with Ygritte as his prisoner. Sansa has bled and is now ready to have Joffrey's children.,17256,9,5
2,18,8,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,"May 20, 2012",3.86,54,"Stannis is just days from King's Landing. Tyrion prepares for his arrival. Jon and Qhorin are taken prisoner by the wildlings. Catelyn is arrested for releasing Jaime. Arya, Gendry, and Hot Pie plan to escape from Harrenhal.",16975,8.9,3
