House_name,Region
Algood,Westerlands
Allyrion of Godsgrace,Dorne
Amber,North
Ambrose,Reach
Andrik of Southshield,Iron Islands (Shield Islands)
Appleton of Appleton,Reach
Arryn of Gulltown,Vale of Arryn
Arryn of the Eyrie,Vale of Arryn
Ashford of Ashford,Reach
Ashwood,North
Baelish of Harrenhal,Riverlands
Baelish of the Fingers,Vale of Arryn
Ball,Reach
Banefort of Banefort,Westerlands
Bar Emmon of Sharp Point,Crownlands (Dragonstone)
Baratheon of Dragonstone,Crownlands (Dragonstone)
Baratheon of King's Landing,Crownlands
Baratheon of Storm's End,Stormlands
Beesbury of Honeyholt,Reach
Belgrave,Unknown
Belmore of Strongsong,Vale of Arryn
Bettley,Westerlands
Bigglestone,Riverlands
Blackbar of Bandallon,Reach
Blackberry,Unknown
Blackfyre,Crownlands
Blackmont of Blackmont,Dorne
Blackmyre,North (Crannogmen)
Blacktyde of Blacktyde,Iron Islands
Blackwood of Raventree Hall,Riverlands; North (formerly)
Blanetree,Riverlands
Blount,Crownlands
Boggs,Crownlands (Crackclaw Point)
Boggs,North (Crannogmen)
Bole,North (Wolfswood Clans)
Bolling,Stormlands
Bolton of the Dreadfort,North
Bolton of Winterfell,North
Borrell of Sweetsister,Vale of Arryn (Sistermen)
Botley of Lordsport,Iron Islands
Bracken of Stone Hedge,Riverlands
Branch,North (Wolfswood Clans)
Brax of Hornvale,Westerlands
Breakstone,Vale of Arryn
Briar,Dorne
Bridges,Reach
Brightstone,Vale of Arryn
Brook,Dorne
Broom,Westerlands
Brownhill,Dorne
Brune of Brownhollow,Crownlands (Crackclaw Point)
Brune of the Dyre Den,Crownlands (Crackclaw Point)
Buckler of Bronzegate,Stormlands
Buckwell of the Antlers,Crownlands
Bulwer of Blackcrown,Reach
Burley,North (Mountain Clans)
Bushy,Reach
Butterwell of Whitewalls,Riverlands
Byrch,Crownlands
Bywater,Crownlands
Cafferen of Fawnton,Stormlands
Cargyll,Crownlands
Caron of Nightsong,Stormlands (Marcher Lords)
Cassel,North
Casterly of Casterly Rock,Westerlands
Caswell of Bitterbridge,Reach
Cave,Crownlands (Crackclaw Point)
Celtigar of Claw Isle,Crownlands (Dragonstone)
Cerwyn of Castle Cerwyn,North
Chambers,Riverlands
Charlton,Riverlands
Chelsted,Crownlands
Chester of Greenshield,Reach (Shield Islands)
Chyttering,Crownlands
Clegane of Clegane's Keep,Westerlands
Clifton,Westerlands
Cobb,Reach
Cockshaw,Reach
Codd,Iron Islands
Coldwater of Coldwater Burn,Vale of Arryn
Cole,Stormlands
Condon,North
Conklyn,Reach
Connington of Griffin's Roost,Stormlands
Corbray of Heart's Home,Vale of Arryn
Cordwayner of Hammerhal,Reach
Costayne of the Three Towers,Reach
Cox of Saltpans,Riverlands
Crabb of the Whispers,Crownlands (Crackclaw Point)
Crakehall of Crakehall,Westerlands
Crane of Red Lake,Reach
Cray,North (Crannogmen)
Cressey,Crownlands
Crowl of Deepdown,North (Skagosi Clans)
Cupps,Unknown
Cuy of Sunhouse,Reach
Dalt of Lemonwood,Dorne
Dargood,Crownlands
Darke,Crownlands
Darklyn of Duskendale,Crownlands
Darkwood,Crownlands
Darry of Darry,Riverlands
Dayne of High Hermitage,Dorne
Dayne of Starfall,Dorne
Deddings,Riverlands
Doggett,Westerlands
Dondarrion of Blackhaven,Stormlands (Marcher Lords)
Donniger,Vale of Arryn
Drinkwater,Dorne
Drox,Westerlands
Drumm of Old Wyk,Iron Islands
Dryland of Hellgate Hall,Dorne
Dunn,Reach
Durrandon,Stormlands
Durwell,Reach
Dustin of Barrowton,North
Edgerton,Crownlands
Egen,Vale of Arryn
Elesham of the Paps,Vale of Arryn
Erenford,Riverlands
Errol of Haystack Hall,Stormlands
Estermont of Greenstone,Stormlands
Estren of Wyndhall,Westerlands
Falwell,Westerlands
Farman of Faircastle,Westerlands
Farring,Crownlands
Farrow,Unknown
Farwynd of Sealskin Point,Iron Islands
Farwynd of the Lonely Light,Iron Islands
Fell of Felwood,Stormlands
Fenn,North (Crannogmen)
Ferren,Westerlands
Fisher of the Misty Isle,Riverlands
Fisher of the Stony Shore,North
Flint of Breakstone Hill,North
Flint of Flint's Finger,North
Flint of the mountains,North (Mountain Clans)
Flint of Widow's Watch,North
Florent of Brightwater Keep,Reach
Follard,Crownlands
Foote,Westerlands
Foote of Nightsong,Stormlands (Marcher Lords)
Footly of Tumbleton,Reach
Forrester,North (Wolfswood Clans)
Fossoway of Cider Hall,Reach
Fossoway of New Barrel,Reach
Fowler of Skyreach,Dorne
Frey of Riverrun,Riverlands
Frey of the Crossing,Riverlands
Frost,North
Gardener of Highgarden,Reach
Gargalen of Salt Shore,Dorne
Garner,Westerlands
Gaunt,Crownlands
Glover of Deepwood Motte,North
Goodbrook,Riverlands
Goodbrother of Corpse Lake,Iron Islands
Goodbrother of Crow Spike Keep,Iron Islands
Goodbrother of Downdelving,Iron Islands
Goodbrother of Orkmont,Iron Islands
Goodbrother of Shatterstone,Iron Islands
Goodbrother of Hammerhorn,Iron Islands
Goode,Unknown
Gower,Stormlands
Graceford of Holyhall,Reach
Grafton of Gulltown,Vale of Arryn
Grandison of Grandview,Stormlands
Graves,Reach
Greenfield of Greenfield,Westerlands
Greengood,North (Crannogmen)
Greenhill,Unknown
Greenwood,North
Grell,Riverlands
Grey,Riverlands
Greyiron of Orkmont,Iron Islands
Greyjoy of Pyke,Iron Islands
Greystark of the Wolf's Den,North
Grimm of Greyshield,Reach (Shield Islands)
Groves,Unknown
Haigh,Riverlands
Hamell,Westerlands
Harclay,North (Mountain Clans)
Hardy,Crownlands (Crackclaw Point)
Hardyng,Vale of Arryn
Harlaw of Grey Garden,Iron Islands (Shield Islands)
Harlaw of Harlaw Hall,Iron Islands
Harlaw of Harridan Hill,Iron Islands
Harlaw of Harlaw,Iron Islands
Harlaw of the Tower of Glimmering,Iron Islands
Harroway of Harrenhal,Riverlands
Harte,Crownlands
Hastwyck,Reach
Hasty,Stormlands
Hawick of Saltpans,Riverlands
Hawthorne,Westerlands
Hayford of Hayford,Crownlands
Heddle,Riverlands
Herston,Stormlands
Hersy of Newkeep,Vale of Arryn
Hetherspoon,Westerlands
Hewett of Oakenshield,Reach (Shield Islands)
Hightower of the Hightower,Reach
Hoare of Orkmont,Iron Islands (origin); Riverlands
Hogg of Sow's Horn,Crownlands
Hollard,Crownlands
Holt,North
Holt,Dorne
Hook,Riverlands
Hornwood of Hornwood,North
Horpe,Stormlands
Hull,Dorne
Humble,Iron Islands
Hunt,Reach
Hunter of Longbow Hall,Vale of Arryn
Hutcheson,Reach
Inchfield,Reach
Ironmaker,Iron Islands
Ironsmith,North
Jast,Westerlands
Jordayne of the Tor,Dorne
Justman,Riverlands
Karstark of Karhold,North
Keath,Riverlands
Kellington,Stormlands
Kenning of Harlaw,Iron Islands
Kenning of Kayce,Westerlands
Kettleblack,Crownlands
Kidwell of Ivy Hall,Reach
Knott,North (Mountain Clans)
Kyndall,Westerlands
Ladybright,Dorne
